               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093325,            0.049244,            0.069943,           0.0012546,            0.083024,          0.00095058,          0.00025734,            0.088844,            0.026897,            0.063399,            0.070053,           0.0033274,           0.0033274
                   1,            0.079106,            0.051315,             0.06142,           0.0028729,               0.228,           0.0033112,           0.0010115,            0.080522,             0.16391,            0.068369,            0.040031,           0.0066388,           0.0066388
                   2,            0.068673,            0.050656,            0.057009,              0.2016,             0.07683,            0.032896,           0.0098124,            0.068916,            0.027471,            0.051792,           0.0099873,           0.0099281,           0.0099281
                   3,            0.063559,            0.049409,            0.051674,             0.26729,             0.18334,             0.09579,            0.035935,            0.063664,            0.025798,            0.047028,            0.009901,            0.009901,            0.009901
                   4,            0.060721,            0.048252,            0.047791,             0.24411,             0.20014,              0.1145,            0.045529,            0.061911,            0.025969,            0.044105,            0.009901,            0.009901,            0.009901
                   5,             0.05867,            0.047785,            0.044873,             0.31393,             0.24734,             0.15915,            0.068248,            0.059201,            0.024953,            0.040944,            0.009868,            0.009868,            0.009868
                   6,            0.057176,            0.047193,            0.042693,             0.31523,             0.24166,             0.18987,            0.086803,            0.057603,            0.024328,            0.038187,            0.009835,            0.009835,            0.009835
                   7,            0.056187,            0.047173,            0.040812,              0.3196,             0.29747,             0.24344,             0.11654,            0.056198,            0.024142,            0.034377,            0.009802,            0.009802,            0.009802
                   8,            0.055667,            0.047027,            0.039133,             0.31857,             0.29558,             0.24764,             0.11461,            0.055232,            0.023783,            0.034725,            0.009769,            0.009769,            0.009769
                   9,            0.054759,             0.04648,            0.037889,             0.37687,              0.3161,             0.27401,             0.13144,             0.05503,            0.023394,            0.032732,            0.009736,            0.009736,            0.009736
                  10,            0.054042,            0.046255,             0.03681,             0.38204,             0.34236,             0.30426,             0.15093,             0.05358,            0.023087,            0.031256,            0.009703,            0.009703,            0.009703
                  11,            0.053265,            0.045867,            0.035474,             0.39868,             0.35033,             0.31928,             0.15853,             0.05287,            0.023047,            0.030842,             0.00967,             0.00967,             0.00967
